chr	start	end	gene	region
chr15	25187536	25187616	SNORD115-10	15:25187536-25187616
chr15	25189414	25189495	SNORD115-11	15:25189414-25189495
chr15	25191416	25191497	SNORD115-12	15:25191416-25191497
chr15	25193321	25193402	SNORD115-13	15:25193321-25193402
chr15	25194921	25195001	SNORD115-14	15:25194921-25195001
chr15	25197576	25197656	SNORD115-15	15:25197576-25197656
chr15	25199448	25199529	SNORD115-16	15:25199448-25199529
chr15	25201323	25201404	SNORD115-17	15:25201323-25201404
chr15	25203227	25203308	SNORD115-18	15:25203227-25203308
chr15	25204357	25204438	SNORD115-19	15:25204357-25204438
chr15	25206262	25206343	SNORD115-20	15:25206262-25206343
chr15	25208083	25208163	SNORD115-21	15:25208083-25208163
chr15	25209918	25209999	SNORD115-22	15:25209918-25209999
chr15	25211796	25211877	SNORD115-23	15:25211796-25211877
chr15	25215541	25215622	SNORD115-25	15:25215541-25215622
chr15	25218617	25218698	SNORD115-26	15:25218617-25218698
chr15	25223246	25223327	SNORD115-29	15:25223246-25223327
chr15	25225203	25225284	SNORD115-30	15:25225203-25225284
chr15	25227109	25227190	SNORD115-31	15:25227109-25227190
chr15	25228967	25229048	SNORD115-32	15:25228967-25229048
chr15	25230838	25230919	SNORD115-33	15:25230838-25230919
chr15	25232387	25232468	SNORD115-34	15:25232387-25232468
chr15	25234247	25234328	SNORD115-35	15:25234247-25234328
chr15	25236085	25236166	SNORD115-36	15:25236085-25236166
chr15	25237986	25238067	SNORD115-37	15:25237986-25238067
chr15	25239838	25239919	SNORD115-38	15:25239838-25239919
chr15	25241746	25241827	SNORD115-39	15:25241746-25241827
chr15	25243614	25243695	SNORD115-40	15:25243614-25243695
chr15	25245478	25245559	SNORD115-41	15:25245478-25245559
chr15	25247345	25247426	SNORD115-42	15:25247345-25247426
chr15	25249198	25249279	SNORD115-43	15:25249198-25249279
chr15	25250859	25250940	SNORD115-44	15:25250859-25250940
chr11	1996759	1996831	MIR675	11:1996759-1996831
chr15	25104642	25104732	SNORD116-28	15:25104642-25104732
chr15	25106521	25106603	SNORD116-29	15:25106521-25106603
chr15	25269783	25269858	SNORD115-48	15:25269783-25269858
chr1	147993862	148014956	PDZK1P1	1:147993862-148014956
chr15	25213648	25213729	SNORD115-24	15:25213648-25213729
chr15	25220497	25220578	SNORD115-27	15:25220497-25220578
chr15	25222348	25222428	SNORD115-28	15:25222348-25222428
chr15	25264510	25264590	SNORD115-45	15:25264510-25264590
chr15	25268466	25268551	SNORD115-47	15:25268466-25268551
chr22	23966888	23972556	DDTL	22:23966888-23972556
chr10	101089321	101131126	TLX1NB	10:101089321-101131126
chr11	65044818	65058553	NAALADL1	11:65044818-65058553
chr9	21994139	22128103	CDKN2B-AS1	9:21994139-22128103
chr5	71220356	71259238	GUSBP17	5:71220356-71259238
chr19	51639478	51646825	SIGLEC14	19:51639478-51646825
chr12	630858	664196	NINJ2-AS1	12:630858-664196
chr20	45841721	45857405	ACOT8	20:45841721-45857405
chr10	26746593	26861087	ABI1	10:26746593-26861087
chr5	141991749	142013041	GNPDA1	5:141991749-142013041
chr19	56840866	56848556	MIMT1	19:56840866-56848556
chr11	74454841	74467729	KCNE3	11:74454841-74467729
chrX	120250752	120258398	ZBTB33	X:120250752-120258398
chr4	118278705	118285316	SNHG8	4:118278705-118285316
chr7	73154938	73207283	GTF2IP4	7:73154938-73207283
chrX	13310652	13319933	GS1-600G8.3	X:13310652-13319933
chr16	68644993	68727468	CDH3	16:68644993-68727468
chr2	161136908	161236230	TANK	2:161136908-161236230
chrY	6443434	6450685	TTTY21B	Y:6443434-6450685
chrY	6390431	6411564	TTTY1B	Y:6390431-6411564
chrY	6406244	6462091	TTTY2B	Y:6406244-6462091
chrY	6470773	6473630	TTTY8B	Y:6470773-6473630
chrY	9706824	9715262	TTTY7B	Y:9706824-9715262
chrY	6242446	6245283	TTTY23B	Y:6242446-6245283
chr7	72969814	72971727	LOC100101148	7:72969814-72971727
chr19	24162370	24163425	HAVCR1P1	19:24162370-24163425
chr7	75416786	75486299	POM121C	7:75416786-75486299
chr7	74904289	74915078	SPDYE12	7:74904289-74915078
chr7	73005541	73021103	PMS2P7	7:73005541-73021103
chr18	35251058	35290245	ZSCAN30	18:35251058-35290245
chr20	31547412	31548081	MCTS2	20:31547412-31548081
chr13	19262797	19344973	ANKRD26P3	13:19262797-19344973
chr5	140537340	140557677	SRA1	5:140537340-140557677
chr9	33952769	33952850	SNORD121A	9:33952769-33952850
chr22	29333158	29333267	SNORD125	22:29333158-29333267
chr3	52690744	52690827	SNORD19B	3:52690744-52690827
chr19	10109757	10109835	SNORD105B	19:10109757-10109835
chr5	9548836	9548905	SNORD123	5:9548836-9548905
chr20	63953384	63956985	UCKL1-AS1	20:63953384-63956985
chr14	45110883	45110968	SNORD127	14:45110883-45110968
chr14	20326450	20326526	SNORD126	14:20326450-20326526
chr2	202291332	202291421	SNORD11B	2:202291332-202291421
chr20	49280319	49280409	SNORD12B	20:49280319-49280409
chr16	70529509	70529588	SNORD111B	16:70529509-70529588
chr6	104864464	104941447	LIN28B-AS1	6:104864464-104941447
chr9	13927971	13945610	LINC00583	9:13927971-13945610
chr6	11537749	11583524	TMEM170B	6:11537749-11583524
chr15	101954885	101956412	FAM138E	15:101954885-101956412
chr18	49489245	49489308	SNORD58C	18:49489245-49489308
chr9	92292461	92292593	SNORA84	9:92292461-92292593
chr2	69520043	69520174	SNORA36C	2:69520043-69520174
chr17	67740669	67740799	SNORA38B	17:67740669-67740799
chr2	61417244	61417378	SNORA70B	2:61417244-61417378
chr9	117180628	117181200	SNORA70C	9:117180628-117181200
chr14	91126425	91126553	SNORA11B	14:91126425-91126553
chrX	47388649	47388777	SNORA11C	X:47388649-47388777
chrX	52190621	52190748	SNORA11D	X:52190621-52190748
chr12	53962308	53974956	HOTAIR	12:53962308-53974956
chr19	10304803	10309880	ZGLP1	19:10304803-10309880
chr3	125916609	125930056	FAM86JP	3:125916609-125930056
chrX	147909431	147911817	FMR1-AS1	X:147909431-147911817
chr20	58818226	58818313	MIR298	20:58818226-58818313
chr14	101041363	101041445	MIR300	14:101041363-101041445
chr5	136080470	136080597	VTRNA2-1	5:136080470-136080597
chrX	147258760	147258850	MIR509-2	X:147258760-147258850
chrX	134540185	134540262	MIR450B	X:134540185-134540262
chrX	145994275	145994351	MIR890	X:145994275-145994351
chrX	146001053	146001131	MIR891B	X:146001053-146001131
chrX	145994784	145994860	MIR888	X:145994784-145994860
chrX	145997198	145997274	MIR892B	X:145997198-145997274
chr14	101064495	101064578	MIR541	14:101064495-101064578
chr8	99536786	99536861	MIR875	8:99536786-99536861
chr9	28863626	28863706	MIR876	9:28863626-28863706
chr15	45433050	45433129	MIR147B	15:45433050-45433129
chr17	12081899	12081996	MIR744	17:12081899-12081996
chr6	30584332	30584417	MIR877	6:30584332-30584417
chr14	100875033	100875104	MIR665	14:100875033-100875104
chr9	28888879	28888955	MIR873	9:28888879-28888955
chrX	74218547	74218618	MIR374B	X:74218547-74218618
chr22	21652981	21653058	MIR301B	22:21652981-21653058
chr2	56000714	56000795	MIR216B	2:56000714-56000795
chr12	24212421	24212495	MIR920	12:24212421-24212495
chr3	197674496	197674576	MIR922	3:197674496-197674576
chr18	39622123	39622175	MIR924	18:39622123-39622175
chrX	136550878	136550960	MIR934	X:136550878-136550960
chr19	53982307	53982397	MIR935	19:53982307-53982397
chr10	104048089	104048186	MIR936	10:104048089-104048186
chr10	29602264	29602346	MIR938	10:29602264-29602346
chr16	2271747	2271840	MIR940	16:2271747-2271840
chr20	63919449	63919520	MIR941-1	20:63919449-63919520
chr20	63919756	63919827	MIR941-4	20:63919756-63919827
chr1	117094643	117094728	MIR942	1:117094643-117094728
chr4	1986384	1986477	MIR943	4:1986384-1986477
chr11	79402022	79402109	MIR708	11:79402022-79402109
chr3	10394489	10394562	MIR885	3:10394489-10394562
chr14	101031987	101032064	MIR543	14:101031987-101032064
chr14	23417987	23418063	MIR208B	14:23417987-23418063
chrX	147259652	147259726	MIR509-3	X:147259652-147259726
chr8	143812957	143813042	MIR937	8:143812957-143813042
chr20	63919505	63919576	MIR941-2	20:63919505-63919576
chr3	189829922	189830009	MIR944	3:189829922-189830009
chrX	146027794	146027872	MIR891A	X:146027794-146027872
chrX	145996669	145996743	MIR892A	X:145996669-145996743
chr5	137647572	137647649	MIR874	5:137647572-137647649
chr14	101047901	101047979	MIR889	14:101047901-101047979
chr1	154193665	154193743	MIR190B	1:154193665-154193743
chr5	15935182	15935260	MIR887	5:15935182-15935260
chr1	93846832	93846911	MIR760	1:93846832-93846911
chr1	166154743	166154798	MIR921	1:166154743-166154798
chr2	175167633	175167709	MIR933	2:175167633-175167709
chr8	144394149	144394230	MIR939	8:144394149-144394230
chr20	63919561	63919632	MIR941-3	20:63919561-63919632
chr4	110860582	110860647	MIR297	4:110860582-110860647
chr16	14309285	14309371	MIR365A	16:14309285-14309371
chr17	31575411	31575521	MIR365B	17:31575411-31575521
chr6	142133090	142135151	GJE1	6:142133090-142135151
chr21	43322417	43332039	LINC00322	21:43322417-43332039
chr11	19710934	19712619	NAV2-AS6	11:19710934-19712619
chr3	4749192	4751590	EGOT	3:4749192-4751590
chr3	10285754	10294903	GHRLOS	3:10285754-10294903
chr5	129748094	129766732	MINAR2	5:129748094-129766732
chr20	62663019	62666724	SLCO4A1-AS1	20:62663019-62666724
chr7	43117896	43163187	HECW1-IT1	7:43117896-43163187
chr7	1838586	1849931	LOC100127955	7:1838586-1849931
chr12	52601467	52615305	KRT73-AS1	12:52601467-52615305
chr8	90958471	90985238	C8orf88	8:90958471-90985238
chr12	131295522	131298218	LOC100128002	12:131295522-131298218
chr17	12760140	12790242	ARHGAP44-AS1	17:12760140-12790242
chr3	193993331	193993985	DPPA2P3	3:193993331-193993985
chr3	149658210	149661364	WWTR1-AS1	3:149658210-149661364
chr10	94278681	94287478	PLCE1-AS1	10:94278681-94287478
chr4	143513472	143514635	SMARCA5-AS1	4:143513472-143514635
chr5	170308701	170312806	LOC100128059	5:170308701-170312806
chr1	32361270	32364278	FAM229A	1:32361270-32364278
chr9	92132398	92138629	LOC100128076	9:92132398-92138629
chr16	27678940	27718806	LOC100128079	16:27678940-27718806
chr7	28180322	28243917	JAZF1-AS1	7:28180322-28243917
chr10	17386919	17413503	ST8SIA6-AS1	10:17386919-17413503
chr15	101737099	101746870	UBE2Q2P13	15:101737099-101746870
chr6	167976582	167979776	HGC6.3	6:167976582-167979776
chr8	73420004	73441526	STAU2-AS1	8:73420004-73441526
chr10	133083073	133087790	ADGRA1-AS1	10:133083073-133087790
chr19	22532626	22533494	LINC01233	19:22532626-22533494
chr3	169939353	169966734	LOC100128164	3:169939353-169966734
chr6	148955628	148964684	UST-AS1	6:148955628-148964684
chr12	98512973	98516422	TMPO-AS1	12:98512973-98516422
chr14	65197254	65222443	LINC02324	14:65197254-65222443
chr11	134032216	134067936	LINC02731	11:134032216-134067936
chr19	56477567	56504362	ZNF667-AS1	19:56477567-56504362
chr12	3296202	3366161	LOC100128253	12:3296202-3366161
chrX	156014623	156016837	WASIR1	X:156014623-156016837
chr3	195908076	195911257	TNK2-AS1	3:195908076-195911257
chr7	155067034	155072450	HTR5A-AS1	7:155067034-155072450
chr15	75727670	75738629	DNM1P35	15:75727670-75738629
chr10	77927631	77929824	DLG5-AS1	10:77927631-77929824
chr20	61717506	61719748	LOC100128310	20:61717506-61719748
chr7	81489204	81691406	LOC100128317	7:81489204-81691406
chr7	130141707	130142618	LINC03008	7:130141707-130142618
chr6	116494989	116545684	TRAPPC3L	6:116494989-116545684
chr5	177939622	177983054	LOC100128340	5:177939622-177983054
chr9	113102117	113111543	FAM225B	9:113102117-113111543
chr11	100684162	100687955	ARHGAP42-AS1	11:100684162-100687955
chr19	58002061	58011232	LOC100128398	19:58002061-58011232
chrX	136639539	136642429	LINC00892	X:136639539-136642429
chr11	72014291	72020910	LOC100128494	11:72014291-72020910
chr20	18809728	18830153	SCP2D1-AS1	20:18809728-18830153
chr9	116504283	116562293	ASTN2-AS1	9:116504283-116562293
chr10	21174014	21175048	NEBL-AS1	10:21174014-21175048
chr22	25102433	25112692	KIAA1671-AS1	22:25102433-25112692
chr1	207801518	207879096	MIR29B2CHG	1:207801518-207879096
chr7	144183466	144186080	CTAGE4	7:144183466-144186080
chr12	126438837	126472790	LINC02347	12:126438837-126472790
chr17	10383132	10623886	MYHAS	17:10383132-10623886
chr19	5978355	6020363	RANBP3-DT	19:5978355-6020363
chr19	3539171	3544030	TEKTIP1	19:3539171-3544030
chr2	39786453	40255209	SLC8A1-AS1	2:39786453-40255209
chrX	103845151	103919548	TMSB15B-AS1	X:103845151-103919548
chr8	142995850	142996482	CDC42P3	8:142995850-142996482
chr3	38451027	38454820	ACVR2B-AS1	3:38451027-38454820
chr19	35042902	35106307	HPN-AS1	19:35042902-35106307
chr19	35399511	35419385	LINC01531	19:35399511-35419385
chrX	151175192	151177836	GPR50-AS1	X:151175192-151177836
chr15	25902119	26053123	LINC02346	15:25902119-26053123
chr2	27070472	27071654	OST4	2:27070472-27071654
chr8	30382119	30385401	RBPMS-AS1	8:30382119-30385401
chr16	3032481	3039133	LOC100128770	16:3032481-3039133
chr9	95813170	95876049	ERCC6L2-AS1	9:95813170-95876049
chr1	100627049	100640613	LINC01349	1:100627049-100640613
chr16	2737076	2752600	SRRM2-AS1	16:2737076-2752600
chr10	25158072	25176276	GPR158-AS1	10:25158072-25176276
chr22	47115838	47117217	LPEQ6126	22:47115838-47117217
chr7	152463786	152465549	LINC01003	7:152463786-152465549
chr16	89711856	89718165	VPS9D1-AS1	16:89711856-89718165
chr16	88512960	88531053	ZFPM1-AS1	16:88512960-88531053
chr7	64574673	64614834	LOC100128885	7:64574673-64614834
chr8	7298744	7355359	FAM66B	8:7298744-7355359
chr18	22166898	22169878	GATA6-AS1	18:22166898-22169878
chr2	174025280	174027163	LINC01960	2:174025280-174027163
chr14	23099062	23104989	CIROP	14:23099062-23104989
chr14	104800596	104804712	ZBTB42	14:104800596-104804712
chr22	48866770	48898386	LINC01310	22:48866770-48898386
chr5	138332105	138337146	LOC100128966	5:138332105-138337146
chr17	45799390	45895680	MAPT-AS1	17:45799390-45895680
chr8	19084992	19259469	LOC100128993	8:19084992-19259469
chr21	45827961	45837987	PCBP3-AS1	21:45827961-45837987
chr2	158658337	158735002	PKP4-AS1	2:158658337-158735002
chr1	93591972	93605573	BCAR3-AS1	1:93591972-93605573
chr10	38164648	38212417	CCNYL4	10:38164648-38212417
chr3	50116022	50156085	SEMA3F-AS1	3:50116022-50156085
chr9	89639814	89719759	LOC100129066	9:89639814-89719759
chr14	55496786	55580888	KTN1-AS1	14:55496786-55580888
chr19	51415724	51417425	SIGLEC10-AS1	19:51415724-51417425
chr1	228510425	228512305	BTNL10	1:228510425-228512305
chr6	73223544	73225770	KHDC1L	6:73223544-73225770
chr8	11345748	11347502	TDH-AS1	8:11345748-11347502
chr1	104072983	104226678	LOC100129138	1:104072983-104226678
chr2	219002215	219015721	LOC100129175	2:219002215-219015721
chr6	28015122	28137313	ZSCAN16-AS1	6:28015122-28137313
chr1	30718504	30726827	MATN1-AS1	1:30718504-30726827
chr11	95151699	95234391	LOC100129203	11:95151699-95234391
chr10	18001786	18010562	SLC39A12-AS1	10:18001786-18010562
chr16	87693537	87696147	LOC100129215	16:87693537-87696147
chr11	71878453	71884561	DEFB131B	11:71878453-71884561
chr12	3483714	3492819	THCAT155	12:3483714-3492819
chrX	146814106	146814744	CXorf51A	X:146814106-146814744
chr9	32551144	32568621	SMIM27	9:32551144-32568621
chr1	111599655	111608723	LINC01160	1:111599655-111608723
chr1	152719522	152720470	C1orf68	1:152719522-152720470
chr2	21123968	21144368	TDRD15	2:21123968-21144368
chrX	71662991	71666767	LOC100129291	X:71662991-71666767
chr3	112802478	112812819	CD200R1L-AS1	3:112802478-112812819
chr13	77661376	77662626	LOC100129307	13:77661376-77662626
chr14	97632647	97686658	LINC02291	14:97632647-97686658
chr9	91118592	91182762	LINC00484	9:91118592-91182762
chr3	47010824	47013465	NRADDP	3:47010824-47013465
chr12	11171194	11176016	SMIM10L1	12:11171194-11176016
chr9	16203935	16410990	C9orf92	9:16203935-16410990
chr15	50354959	50356433	GABPB1-AS1	15:50354959-50356433
chr17	16788879	16790501	FAM106C	17:16788879-16790501
chr1	155745829	155750137	MSTO2P	1:155745829-155750137
chrX	72938163	72938958	FAM236A	X:72938163-72938958
chr7	103141349	103141939	RPL19P12	7:103141349-103141939
chr7	50531759	50543463	DDC-AS1	7:50531759-50543463
chr2	56173534	56185870	LOC100129434	2:56173534-56185870
chr7	32580949	32761787	DPY19L1P1	7:32580949-32761787
chr6	5003774	5080946	LYRM4-AS1	6:5003774-5080946
chrX	3271544	3290158	LINC01546	X:3271544-3290158
chr3	12514934	12561059	MKRN2OS	3:12514934-12561059
chr10	42513510	42552825	ZNF37BP	10:42513510-42552825
chr7	5426277	5428927	LINC02983	7:5426277-5428927
chr17	81003335	81005132	LOC100129503	17:81003335-81005132
chrX	135118955	135120526	ETDB	X:135118955-135120526
chr3	197505262	197506986	LINC02012	3:197505262-197506986
chr6	159760258	159762332	SOD2-OT1	6:159760258-159762332
chr1	2350414	2352820	LOC100129534	1:2350414-2352820
chr15	78978889	78985926	LOC100129540	15:78978889-78985926
chr19	23075201	23147221	ZNF730	19:23075201-23147221
chr3	122886941	122892416	LINC02035	3:122886941-122892416
chr4	76214040	76283783	FAM47E	4:76214040-76283783
chr13	48576974	48590587	LINC00462	13:48576974-48590587
chr7	3140234	3174654	LOC100129603	7:3140234-3174654
chr1	99004276	99244794	PLPPR5-AS1	1:99004276-99244794
chr6	29036021	29076524	OR2W1-AS1	6:29036021-29076524
chr8	66946501	66962591	TCF24	8:66946501-66962591
chrX	138711452	138716617	FGF13-AS1	X:138711452-138716617
chr9	24542952	24545946	IZUMO3	9:24542952-24545946
chr16	88939789	88951524	LOC100129697	16:88939789-88951524
chr5	91380349	91548799	ARRDC3-AS1	5:91380349-91548799
chr9	137250219	137253497	STPG3-AS1	9:137250219-137253497
chr2	26984776	27014612	MAPRE3-AS1	2:26984776-27014612
chr2	43227210	43228855	LINC01126	2:43227210-43228855
chr16	14301389	14331067	MIR193BHG	16:14301389-14331067
chr5	42756818	42802439	CCDC152	5:42756818-42802439
chr14	37171888	37173811	SLC25A21-AS1	14:37171888-37173811
chr19	34542462	34545395	ZNF807P	19:34542462-34545395
chr11	10541258	10599939	IRAG1-AS1	11:10541258-10599939
chr13	110456396	110463287	COL4A2-AS2	13:110456396-110463287
chr19	20535825	20565809	ZNF737	19:20535825-20565809
chr7	100589402	100604206	PCOLCE-AS1	7:100589402-100604206
chr4	140283724	140373406	SCOC-AS1	4:140283724-140373406
chr18	49023703	49048474	DYM-AS1	18:49023703-49048474
chr4	760202	781866	PCGF3-AS1	4:760202-781866
chr1	42784991	42816619	TMEM269	1:42784991-42816619
chr4	7030554	7046231	LOC100129931	4:7030554-7046231
chr19	39638685	39642401	LOC100129935	19:39638685-39642401
chr12	65851340	65882167	HMGA2-AS1	12:65851340-65882167
chr2	134735464	134918710	CCNT2-AS1	2:134735464-134918710
chr9	34889066	34895764	FAM205C	9:34889066-34895764
chr15	52179999	52206915	CERNA1	15:52179999-52206915
chr2	27705786	27716738	LINC01460	2:27705786-27716738
chrX	48801377	48824982	HDAC6	X:48801377-48824982
chr16	90039761	90047773	URAHP	16:90039761-90047773
chr4	68182292	68212470	FTLP10	4:68182292-68212470
chr12	68805011	68805479	LOC100130075	12:68805011-68805479
chrX	149592512	149595314	HSFX2	X:149592512-149595314
chr15	29674932	29680957	LOC100130111	15:29674932-29680957
chr17	45895783	45898798	MAPT-IT1	17:45895783-45898798
chr8	64373105	64383787	MIR124-2HG	8:64373105-64383787
chr5	138032774	138037266	FAM13B-AS1	5:138032774-138037266
chr1	46674036	46692098	EFCAB14-AS1	1:46674036-46692098
chr3	3700814	3800875	LOC100130207	3:3700814-3800875
chr8	125895687	126292788	LINC00861	8:125895687-126292788
chr12	132275391	132280900	LOC100130238	12:132275391-132280900
chr1	234757619	234760056	LINC02961	1:234757619-234760056
chr2	170640374	170695374	LOC100130256	2:170640374-170695374
chr20	19242302	19284596	SLC24A3-AS1	20:19242302-19284596
chr12	75234740	75251865	LOC100130268	12:75234740-75251865
chr8	143706694	143708109	CCDC166	8:143706694-143708109
chr6	10409340	10416446	TFAP2A-AS1	6:10409340-10416446
chr16	8797842	8860417	LOC100130283	16:8797842-8860417
chr8	60965802	60967775	LOC100130298	8:60965802-60967775
chr8	73241331	73259530	C8orf89	8:73241331-73259530
chrX	24360639	24367839	SUPT20HL1	X:24360639-24367839
chr17	4899418	4902934	C17orf107	17:4899418-4902934
chr1	237862175	237928321	LOC100130331	1:237862175-237928321
chr19	34645380	34646838	SCGB2B3P	19:34645380-34646838
chr3	63741827	63805093	LOC100130345	3:63741827-63805093
chr11	65088372	65089375	TMEM262	11:65088372-65089375
chr6	13273087	13295586	LOC100130357	6:13273087-13295586
chrX	71714371	71718285	CXorf49	X:71714371-71718285
chr17	81375144	81385464	LOC100130370	17:81375144-81385464
chr20	36147281	36155760	EPB41L1-AS1	20:36147281-36155760
chr13	113748511	113751089	LINC00552	13:113748511-113751089
chr1	916870	919692	LINC02593	1:916870-919692
chr22	17036570	17060825	CECR7	22:17036570-17060825
chr2	240449315	240456714	GPC1-AS1	2:240449315-240456714
chr2	213276552	213284205	SPAG16-DT	2:213276552-213284205
chr11	10308313	10410838	CAND1.11	11:10308313-10410838
chr6	137823673	137868233	WAKMAR2	6:137823673-137868233
chr18	6511416	6590653	LINC01387	18:6511416-6590653
chr19	17435509	17448668	TMEM221	19:17435509-17448668
chr17	74560701	74567343	CD300H	17:74560701-74567343
chr18	80147912	80179839	PARD6G-AS1	18:80147912-80179839
chr10	44292569	44294649	LINC02881	10:44292569-44294649
chr9	134054290	134058805	LOC100130548	9:134054290-134058805
chr1	40690380	40692066	NFYC-AS1	1:40690380-40692066
chr17	43338741	43389226	LINC00910	17:43338741-43389226
chr20	63359988	63371177	LOC100130587	20:63359988-63371177
chrX	126819729	126821786	PRR32	X:126819729-126821786
chr7	32456963	32457758	LOC100130673	7:32456963-32457758
chr2	177283508	177392691	LOC100130691	2:177283508-177392691
chr16	35504370	35506567	TP53TG3HP	16:35504370-35506567
chr3	120349449	120423826	LRRC58-DT	3:120349449-120423826
chr7	128866330	128872047	ATP6V1FNB	7:128866330-128872047
chr22	17159352	17165447	HDHD5-AS1	22:17159352-17165447
chr5	62561136	62581467	LRRC70	5:62561136-62581467
chr8	91102619	91219236	LRRC69	8:91102619-91219236
chr7	105565120	105600875	EFCAB10	7:105565120-105600875
chr12	57726271	57728356	AGAP2-AS1	12:57726271-57728356
chr19	55540656	55545543	SBK3	19:55540656-55545543
chr7	56875385	56882146	LOC100130849	7:56875385-56882146
chr15	63552912	63601589	USP3-AS1	15:63552912-63601589
chr4	1172049	1208962	LOC100130872	4:1172049-1208962
chr7	137953348	137957966	CREB3L2-AS1	7:137953348-137957966
chr10	121928056	121952139	ATE1-AS1	10:121928056-121952139
chr6	31173735	31177899	PSORS1C3	6:31173735-31177899
chr6	99424913	99589899	TSTD3	6:99424913-99589899
chr16	70755035	70773251	VAC14-AS1	16:70755035-70773251
chr17	75646243	75647975	SMIM6	17:75646243-75647975
chr20	46455955	46457085	ZNF663P	20:46455955-46457085
chrX	152733827	152740985	CSAG4	X:152733827-152740985
chr17	5192007	5248182	ZNF594-DT	17:5192007-5248182
chr9	135574935	135587112	LINC01502	9:135574935-135587112
chr16	77199408	77213215	SYCE1L	16:77199408-77213215
chr8	39522976	39580134	LOC100130964	8:39522976-39580134
chr6	158869848	158919105	LINC02901	6:158869848-158919105
chr11	67317871	67392074	LOC100130987	11:67317871-67392074
chr7	50095883	50159256	SPATA48	7:50095883-50159256
chr10	22252072	22258548	LOC100130992	10:22252072-22258548
chr7	6637318	6658279	ZNF316	7:6637318-6658279
chr6	38923029	38953099	DNAH8-AS1	6:38923029-38953099
chr1	58785128	58901109	LINC01135	1:58785128-58901109
chr5	81201341	81301565	CKMT2-AS1	5:81201341-81301565
chr15	40039242	40080614	SRP14-DT	15:40039242-40080614
chr19	4679282	4685948	DPP9-AS1	19:4679282-4685948
chr1	152079557	152080903	LOC100131107	1:152079557-152080903
chr3	114351771	114388978	ZBTB20-AS1	3:114351771-114388978
chr19	47968046	47992170	BSPH1	19:47968046-47992170
chr12	110934590	110959093	LINC01405	12:110934590-110959093
chr7	151409161	151413354	WDR86-AS1	7:151409161-151413354
chr1	161037631	161038977	TSTD1	1:161037631-161038977
chr9	136803927	136808848	CCDC183-AS1	9:136803927-136808848
chr1	212051524	212052006	RPL21P28	1:212051524-212052006
chr20	10021978	10368823	SNAP25-AS1	20:10021978-10368823
